Year,Butter,Margarine,Lard,Edible beef tallow,Shortening,Salad and cooking oils,Other edible fats and oils,Added fats and oils,Light cream,Half and half,Heavy cream,Sour cream,Cream cheese,Eggnog,Dairy fats,Added fats and oils and dairy fats,Refined cane and beet sugar,High fructose corn syrup,Corn Glucose,Corn Dextrose,Corn sweeteners,Edible syrups,Honey,Added sugars,White and whole wheat,Durum flour,Wheat flour,Rye flour,Rice,Corn Flour and meal,Hominy and grits,Cornstarch,Corn products,Oat products,Barley products,Flour and cereal products*,Fresh Artichokes,Fresh Asparagus,Fresh Bell peppers,Fresh Broccoli,Fresh Brussels sprouts,Fresh Cabbage,Fresh Carrots,Fresh Cauliflower,Fresh Celery,Fresh Collard greens,Fresh Sweet corn,Fresh Cucumbers,Fresh Eggplant,Fresh Escarole /endive,Fresh Garlic,Fresh Head lettuce,Fresh Kale,Fresh Romaine and leaf lettuce,Fresh Lima beans,Fresh Mushrooms,Fresh Mustard greens,Fresh Okra,Fresh Onions,Fresh Potatoes,Fresh Pumpkin,Fresh Radishes,Fresh Snap beans,Fresh Spinach,Fresh Squash,Fresh Sweet potatoes,Fresh Tomatoes,Fresh Turnip greens,Fresh vegetables,Canned Asparagus,Canned Snap beans,Canned Cabbage,Canned Carrots,Canned Sweet corn,Canned Cucumbers,Canned Green peas,Canned Mushrooms,Canned Chile peppers,Canned Potatoes,Canned Tomatoes,Other canned vegetables,Canned vegetables,Frozen Asparagus,Frozen Snap beans,Frozen Broccoli,Frozen Carrots,Frozen Cauliflower,Frozen Sweet corn,Frozen Green peas,Frozen Lima beans,Frozen Potatoes,Frozen Spinach,Other frozen vegetables,Frozen vege-tables,Dehydrated Onions,Dehydrated Potatoes,Dehydrated vegetables,Chips and shoestring potatoes,Dry edible beans,Dry peas and lentils,Legumes,Total vege-tables,Fresh Oranges,Fresh Tangerines,Fresh Grapefruit,Fresh Lemons,Fresh Limes,Fresh citrus,Fresh Apples,Fresh Apricots,Fresh Avocados,Fresh Bananas,Fresh Blueberries,Fresh Cantaloupe,Fresh Cherries,Fresh Cranberries,Fresh Grapes,Fresh Honeydew melons,Fresh Kiwifruit,Fresh Mangoes,Fresh Peaches,Fresh Pears,Fresh Pineapple,Fresh Papayas,Fresh Plums,Fresh Raspberries,Fresh Strawberries,Fresh Watermelon,Fresh noncitrus fruit,Fresh fruit,Canned Apples and applesauce,Canned Apricots,Canned Cherries,Canned Olives,Canned Peaches,Canned Pears,Canned Pineapple,Canned Plums,Canned fruit,Frozen Blackberries,Frozen Blueberries,Frozen Raspberries,Frozen Strawberries,Frozen Other berries,Frozen berries,Frozen Apples,Frozen Apricots,Frozen Cherries,Frozen Peaches,Frozen Plums & prunes,Other frozen,Frozen fruit,Dried Apples,Dried Apricots,Dried Dates,Dried Figs,Dried Peaches,Dried Pears,Dried Plums,Dried Raisins,Dried fruit,Orange Juice,Grapefruit Juice,Lemon Juice,Lime Juice,Citrus juice Juice,Apple Juice,Cranberry Juice,Grape Juice,Pineapple Juice,Prune Juice,Noncitrus juice,Fruit juice,Total Fresh,Total Canned,Total Frozen,Total Dried,Total Juice,Total Fruit,Plain Milk Whole,Plain Milk 2 percent,Plain Milk 1 percent,Plain Milk Skim,Plain milk,Flavored Milk Whole,Flavored Milk Lower fat,Flavored milk,Buttermilk,Beverage milk,Yogurt,Fluid milk products,American Cheese Cheddar,American Cheese Other,American Cheese Total,Italian Cheese Mozzarella,Other Italian cheese,Italian Cheese Total,Swiss cheese,Brick,Muenster,Blue cheese,Other misc. cheeses,Total misc Cheese,Total Cheese,Cottage Cheese Regular,Cottage Cheese Lowfat,Cottage Cheese Total,Ice cream,Lowfat ice cream,Other Frozen Dairy,Total Frozen Dairy,Evaporated and Condensed Canned whole,Evaporated and Condensed Bulk whole,Evaporated and Condensed Skim,Evaporated and Condensed Total,Dry Milk Whole,Dry Milk Nonfat,Dry Milk Buttermilk,Dry Milk Total,Half and half,Eggnog,Cream products,Total dairy,Beef,Veal,Pork,Lamb,Red meat,Chicken,Turkey,Poultry,Fresh and Frozen Fish,Fresh and Frozen Shellfish,Total Fresh and Frozen fish and shellfish,Canned Salmon,Canned Sardines,Canned Tuna,Canned Shellfish,Canned Other,Canned Total,Cured,Fish and shellfish,"Total red meat, poultry, and fish",Eggs,Peanuts,Almonds,Hazelnuts,Pecans,Walnuts,Macadamia nuts,Pistachios,Other nuts,Tree nuts,Coconuts,Nuts,Total Meat,Total Eggs,Total Nuts,"Total Meat, eggs, and nuts","Percentage of daily total Meat, eggs, and nuts",Percentage of daily total Dairy,Percentage of daily total Fruit,Percentage of daily total Vegetables,Percentage of daily total Flour and cereal products,Percentage of daily total Added fats and oils and dairy fats*,Percentage of daily total Caloric sweeteners,Percentage of daily total Total,"Daily caloric total from Meat, eggs, and nuts",Daily caloric total from Dairy,Daily caloric total from Fruit,Daily caloric total from Vegetables,Daily caloric total from Flour and cereal products**,Daily caloric total from Added fats and oils and dairy fats*,Daily caloric total from Sugar and sweeteners (Added),Daily caloric total
2008,26.9,17,3.8,10.7,103.4,405.8,13.1,580.7,NA,NA,NA,6.4,6.5,0.1,13,593.7,180.9,146.4,37.1,7.6,191.1,2.2,3.5,377.7,374.3,37,411.3,2.1,54.5,61.6,30.1,11.5,103.2,13.4,1.8,586.4,0.22,0.1,0.99,1.14,0.11,1.24,2.18,0.14,0.58,0.05,2.18,0.39,0.1,0.03,1.93,1.52,0.04,0.95,0.01,0.41,0.02,0.08,4.43,28.12,0.25,0.04,0.38,0.24,0.38,1.76,3.25,0.03,53.3,0.04,0.39,0.08,0.14,3.59,0.83,0.45,0.21,1.08,0.33,3.66,0.51,11.31,0.01,0.44,0.59,0.24,0.05,1.52,1.14,0.28,19.7,0.14,0.77,24.87,0.65,6.87,7.52,24.03,9.31,0.63,9.95,130.97,2.3,0.6,0.4,0.2,0.37,3.8,6.3,0.04,3.2,13.3,0.4,0.9,0.3,0.04,3.8,0.14,0.13,0.74,1.2,1.4,0.7,0.13,0.3,0.1,1.3,1.9,36.3,40.1,2.6,0.03,0.06,1.4,1,1.1,1.3,0.01,7.5,0.04,0.16,0.16,0.62,0.02,1,0.16,0.02,0.29,0.21,0.003,0.68,1.7,0.28,0.27,0.46,0.21,0.11,NA,0.7,3.6,5.6,15.6,1.07,0.25,0.06,17,8.96,1.15,2.55,1.31,0.21,14.2,31.2,40.1,7.5,1.7,5.6,31.2,86.1,27.4,26.8,8.3,8.1,70.7,1,5.5,6.5,0.6,77.8,5.9,83.7,43.2,9.4,52.7,23.91,11.06,34.97,2.45,0.06,1.03,NA,3.62,7.15,94.79,0.7,1,1.6,24.5,9.13,4.91,38.5,2,0.9,3.7,6.6,0.3,7.8,0.7,8.9,NA,0.05,0.05,234.2,163.3,0.6,91.6,1.9,257.4,138.7,20.6,159.3,5.3,3.3,8.6,0.1,0.3,3.1,0.4,0.5,4.5,0.3,13.4,430.2,37.8,40.8,7.5,0.3,3.4,3,0.8,0.6,5.8,21.4,3.7,65.9,430.2,37.8,65.9,533.9,21,9,3,5,23,23,15,100,534,234,86,131,586,594,378,2543
2009,26.8,14.8,5.3,2.5,91.5,383.3,13.4,537.6,NA,NA,NA,6.6,6.4,0.1,13.1,550.7,176.2,138,36,7.5,181.6,2.1,3.3,363.2,368.1,37.5,405.6,2.1,54.4,61.6,30.1,11.5,103.2,13.3,1.8,580.4,0.22,0.11,1.02,1.18,0.1,1.13,1.99,0.15,0.57,0.05,2.18,0.41,0.1,0.02,1.71,1.46,0.05,0.9,0.01,0.4,0.02,0.07,4.33,27.14,0.21,0.03,0.34,0.28,0.4,1.86,3.43,0.02,51.9,0.03,0.43,0.08,0.13,4.04,1.19,0.52,0.2,1.15,0.3,3.84,0.45,12.36,0.01,0.4,0.55,0.24,0.04,1.49,1.07,0.21,19.28,0.13,0.87,24.28,0.83,6.56,7.39,20.92,8.31,1.25,9.56,126.4,2.1,0.6,0.4,0.3,0.37,3.7,6.2,0.04,3.4,11.8,0.5,0.9,0.4,0.03,3.6,0.14,0.14,0.7,1.1,1.5,0.7,0.17,0.2,0.1,1.4,1.8,34.7,38.4,2.3,0.03,0.07,1.4,1.1,1.2,1.3,0.01,7.4,0.04,0.22,0.15,0.54,0.03,0.97,0.16,0.01,0.34,0.2,0.002,0.73,1.7,0.19,0.27,0.47,0.16,0.07,NA,0.8,3.5,5.4,16.4,0.94,0.33,0.09,17.8,8.91,1.02,2.13,1.32,0.17,13.5,31.3,38.4,7.4,1.7,5.4,31.3,84.2,26.8,27,8.5,8,70.3,1,5.7,6.6,0.5,77.4,6.3,83.7,43.3,10.1,53.4,23.86,11.05,34.91,2.59,0.08,1,NA,3.21,6.88,95.2,0.7,1,1.6,24,9.44,4.14,37.5,2,0.8,3.6,6.5,0.9,10.5,0.7,12.1,NA,0.05,0.05,236.7,159.8,0.6,92.8,1.8,255,132.4,19.8,152.2,5.3,3.3,8.6,0.3,0.3,2.8,0.4,0.5,4.3,0.4,13.3,420.5,38,42.1,7.5,0.3,3.3,3.5,0.8,1,6.1,22.5,4.1,68.7,420.5,38,68.7,527.2,21,10,3,5,24,22,15,100,527,237,84,126,580,551,363,2469
2010,26.6,14.4,5.6,11.9,88,402.3,13.3,562.2,NA,NA,NA,6.7,6.2,0.1,13,575.2,183.3,134.4,35.1,8.1,177.6,2.7,3.7,367.3,367.3,38.9,406.1,2.1,54.4,61.6,30.1,11.8,103.5,13.4,1.8,581.2,0.21,0.12,1.07,1.15,0.1,1.18,2.08,0.11,0.56,0.07,2.19,0.4,0.1,0.02,1.65,1.44,0.06,1.06,0,0.43,0.02,0.06,4.36,27.15,0.23,0.04,0.36,0.23,0.38,2.3,3.59,0.02,52.73,0.02,0.43,0.08,0.11,3.65,0.88,0.45,0.22,1.15,0.26,3.89,0.5,11.64,0.01,0.42,0.54,0.23,0.04,1.4,0.96,0.33,19.17,0.13,0.89,24.12,0.58,6.22,6.8,22.98,9.83,1.99,11.81,130.07,2.2,0.7,0.4,0.3,0.37,3.9,5.7,0.04,3.1,13.8,0.6,0.8,0.3,0.02,3.7,0.14,0.14,0.76,1.1,1.3,0.8,0.17,0.2,0.1,1.4,1.8,36.1,40,2.2,0.03,0.03,2.5,1,0.9,1.2,0,7.9,0.04,0.24,0.17,0.67,0.03,1.16,0.12,0.01,0.31,0.19,0.001,0.64,1.8,0.21,0.26,0.66,0.16,0.15,NA,0.9,3.4,5.8,15.2,0.78,0.31,0.08,16.4,9.41,0.99,2.09,1.05,0.17,13.7,30.1,40,7.9,1.8,5.8,30.1,85.7,25.3,27.2,8.9,8.1,69.5,0.9,5.8,6.7,0.5,76.7,6.8,83.5,42.6,10.5,53.1,25.04,11.11,36.15,2.63,0.06,1.01,0.7,2.63,7.02,96.24,0.7,0.9,1.6,24,9.68,4.1,37.8,1.8,0.7,3.8,6.2,0.7,8.5,0.7,10,NA,0.05,0.05,235.4,155.9,0.6,88.5,1.7,246.6,137,19.2,156.2,5.4,3.1,8.5,0.3,0.3,3,0.4,0.5,4.6,0.4,13.5,416.3,37.9,44.2,8.6,0.3,3.7,2.8,0.8,1,5.7,23,4.3,71.5,416.3,37.9,71.5,525.7,21,9,3,5,23,23,15,100,526,235,86,130,581,575,367,2501
2011,29.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,5.9,0.1,12.8,NA,183.2,129.8,34,8,171.8,2.4,3.9,361.2,396,NA,396,2.1,NA,63.5,31.1,12.2,106.8,13.6,1.8,520.1,0.24,0.12,1.09,1.16,0.13,1.06,2,0.11,0.54,0.06,1.93,0.37,0.09,0.03,1.64,1.43,0.07,1.02,0,0.45,0.02,0.07,4.29,25.02,0.22,0.03,0.33,0.24,0.37,2.63,3.65,0.02,50.43,0.02,0.37,0.08,0.12,3.09,0.66,0.31,0.22,1.15,0.25,3.59,0.51,10.39,0.01,0.33,0.58,0.25,0.05,1.6,1,0.25,18.48,0.12,0.88,23.54,0.56,5.86,6.42,25.69,7.71,1.3,9,125.48,2.2,0.8,0.3,0.3,0.36,4.1,5.6,0.04,3.9,13.9,0.7,0.8,0.3,0.02,3.4,0.13,0.16,0.85,1.1,1.5,0.7,0.16,0.3,0.1,1.4,1.6,36.7,40.7,2.3,0.02,0.04,1.3,0.9,1,1.2,0,6.8,0.03,0.19,0.17,0.57,0.04,1,0.15,0.01,0.3,0.18,0.002,0.64,1.6,0.19,0.26,0.73,0.14,0.07,NA,1.2,3.4,6,15.1,0.87,0.4,0.09,16.5,7.36,1.11,2.38,1.12,0.14,12.1,28.6,40.7,6.8,1.6,6,28.6,83.7,24.5,26.7,9,7.9,68.1,0.9,5.6,6.5,0.5,75.1,6.9,82,40.6,11.2,51.7,25.62,11.82,37.44,2.54,0.09,1.24,0.71,2.96,7.54,96.71,0.6,0.9,1.6,22.7,9.62,4.26,36.6,1.8,0.6,3.8,6.2,0.8,8,0.9,9.6,NA,0.05,0.05,232.7,149.7,0.5,84.5,1.6,236.3,137.9,18.8,156.6,4.9,3.1,7.9,0.2,0.3,2.9,0.4,0.5,4.3,0.4,12.7,405.6,38,44.1,9.7,0.3,2.5,2.7,0.9,1.4,4.7,22.3,4.7,71.1,405.6,38,71.1,514.7,,,,,,,,,515,233,84,125,520,NA,361,NA
2012,29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,6.4,0.1,13.5,NA,185.3,127.2,34.9,7.4,169.5,2.4,4,361.1,401.5,NA,401.5,2.1,NA,63.1,30.9,12.1,106.1,13.3,1.7,524.8,0.21,0.12,1.11,1.23,0.15,1.01,2.12,0.1,0.54,0.08,2.05,0.42,0.1,0.03,1.62,1.44,0.06,1.04,0,0.44,0.02,0.06,4.33,25.38,0.26,0.02,0.31,0.21,0.4,2.55,3.62,0.01,51.04,0.02,0.35,0.09,0.12,3.11,0.7,0.32,0.19,1.26,0.28,3.63,0.53,10.6,0.01,0.4,0.56,0.19,0.04,1.61,1.2,0.33,18.39,0.11,0.93,23.75,0.55,7.68,8.23,26.95,8.52,1.05,9.57,130.14,2.4,0.8,0.3,0.4,0.37,4.2,5.9,0.03,4.3,14.7,0.7,0.7,0.4,0.02,3.5,0.12,0.15,0.84,0.9,1.3,0.8,0.15,0.2,0.1,1.5,1.6,37.9,42.1,1.8,0.02,0.01,1.8,0.9,1,1.2,0,6.6,0.04,0.19,0.18,0.64,0.03,1.07,0.07,0.01,0.33,0.19,0.002,0.6,1.7,0.28,0.28,0.73,0.16,0.07,NA,1,3.4,5.9,12.8,0.67,0.31,0.1,13.8,8.03,1.21,1.91,1.04,0.11,12.3,26.1,42.1,6.6,1.7,5.9,26.1,82.4,23.9,26.2,9.1,7.4,66.6,0.9,5.5,6.4,0.5,73.5,7.1,80.6,40.6,11.8,52.4,25.29,11.66,36.96,2.43,0.1,1.27,0.71,3.19,7.7,97.09,0.6,0.9,1.6,22.7,10.45,4.19,37.3,1.8,0.7,3.9,6.4,0.6,9.5,0.9,11.1,NA,0.05,0.05,234,150,0.5,84.9,1.6,237,133.8,18.7,152.5,4.7,2.9,7.7,0.2,0.3,2.6,0.4,0.5,4,0.4,12.1,401.5,39.1,42.6,10.8,0.3,3,3,0.8,1.5,5.2,24.5,5.4,72.5,401.5,39.1,72.5,513.2,,,,,,,,,513,234,82,130,525,NA,361,NA
2013,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,6.6,0.1,13.6,NA,189.1,121.6,33.5,7.3,162.3,2.5,4.1,358,403.6,NA,403.6,2.1,NA,63.1,30.9,12.1,106.1,12.9,1.9,526.6,0.18,0.12,1.03,1.35,0.16,1.11,2.14,0.11,0.5,0.09,2.09,0.43,0.11,0.02,1.6,1.28,0.07,0.99,0,0.45,0.01,0.05,4.14,25.39,0.24,0.03,0.31,0.22,0.38,2.32,3.52,0.01,50.48,0.02,0.34,0.08,0.12,3.07,0.75,0.35,0.18,1.22,0.2,3.6,0.52,10.45,0.01,0.44,0.55,0.26,0.04,1.15,0.96,0.25,18.22,0.13,0.87,22.9,0.41,7.17,7.59,27.29,8.39,1.23,9.62,128.32,2.3,0.8,0.3,0.3,0.42,4.3,6.3,0.03,4.7,15.3,0.7,0.8,0.2,0.03,3.6,0.13,0.13,0.96,0.7,1.3,0.9,0.17,0.2,0.2,1.5,1.6,39.5,43.7,2.6,0.02,0.03,1.8,0.9,1,1.2,0,7.6,0.05,0.23,0.17,0.61,0.02,1.07,0.17,0.01,0.24,0.18,0.002,0.6,1.7,0.2,0.3,0.77,0.2,0.09,NA,1.1,3.6,6.2,13.4,0.73,0.36,0.09,14.5,7.59,1.31,2.44,1.02,0.1,12.5,27,43.7,7.6,1.7,6.2,27,86.2,23.7,25.6,8.8,6.7,64.8,0.9,5.4,6.4,0.6,71.7,7.5,79.3,40.8,12,52.8,25.4,11.6,37,2.23,0.07,1.33,0.75,3.14,7.52,97.31,0.6,0.9,1.5,22.5,9.02,4.52,36,1.7,0.7,3.9,6.2,0.6,7.7,1.1,9.3,NA,0.05,0.05,229.6,147.4,0.4,86.7,1.7,236.3,136.2,18.7,155,4.7,2.9,7.6,0.5,0.3,2.6,0.4,0.5,4.3,0.3,12.2,403.5,39.7,43.5,10.4,0.3,2.5,2.9,0.8,1,5.6,23.5,5,72,403.5,39.7,72,515.2,,,,,,,,,515,230,86,128,527,NA,358,NA
2014,29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,6.6,0.1,13.6,NA,190.3,120.6,33.9,8.2,162.7,2.9,4.6,360.6,402.6,NA,402.6,2.1,NA,63.5,30.8,12.1,106.3,12.8,1.9,525.8,0.2,0.14,1.1,1.3,0.17,1.08,2.26,0.11,0.5,0.11,1.8,0.44,0.11,0.02,1.58,1.31,0.07,0.94,0,0.47,0.03,0.06,4.12,24.69,0.27,0.04,0.28,0.23,0.39,2.77,3.59,0.02,50.21,0.01,0.33,0.08,0.11,3.07,0.91,0.29,0.18,1.25,0.12,3.68,0.5,10.53,0.01,0.37,0.58,0.19,0.04,1.26,1,0.25,18.01,0.15,0.92,22.76,0.63,6.7,7.33,30.57,8.1,0.95,9.05,130.45,2.1,0.9,0.3,0.3,0.44,4.1,6.8,0.04,5.4,15.2,0.8,0.6,0.3,0.02,3.5,0.14,0.15,0.84,0.8,1.3,0.9,0.18,0.2,0.2,1.5,1.6,40.5,44.6,2.4,0.02,0.02,1.3,0.9,0.9,1.1,0,6.6,0.03,0.26,0.24,0.68,0.05,1.26,0.17,0.01,0.38,0.19,0.001,0.75,2,0.22,0.2,0.86,0.17,0.07,NA,1,3.4,5.9,12.6,0.62,0.29,0.08,13.6,7.29,1.21,2.46,1.03,0.12,12.1,25.7,44.6,6.6,2,5.9,25.7,84.9,23.6,24.7,8.5,5.9,62.7,0.9,5.3,6.2,0.5,69.5,7.5,77,41.7,12.3,54,26.43,11.33,37.75,2.27,0.02,1.31,0.75,3.28,7.64,99.38,0.6,0.9,1.4,21.5,9.26,4.42,35.2,1.2,0.6,3.9,5.7,0.7,8.2,0.8,9.8,NA,0.04,0.04,228.5,141.8,0.4,84.9,1.8,228.9,138.8,18.5,157.3,5,3,8,0.1,0.3,2.6,0.4,0.6,3.9,0.4,12.2,398.4,40.9,44.1,9.2,0.4,3.4,2.6,0.8,1.2,6.5,24.2,5.9,74.2,398.4,40.9,74.2,513.6,,,,,,,,,514,229,85,130,526,NA,361,NA
2015,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6.7,0.1,13.8,NA,192.2,118.2,34.2,8.2,160.7,3.1,4.6,360.6,397.7,NA,397.7,2.2,NA,63.5,30.8,12.1,106.3,13,2,521.3,0.2,0.12,1.1,1.44,0.26,1.01,2.35,0.13,0.47,0.09,2.03,0.44,0.11,0.01,1.68,1.23,0.07,1.04,0,0.48,0.02,0.06,4.09,25.08,0.16,0.04,0.3,0.24,0.4,2.8,3.58,0.02,51.05,0.01,0.35,0.07,0.1,2.84,0.8,0.34,0.18,1.24,0.14,3.07,0.57,9.72,0.01,0.4,0.58,0.21,0.04,1.31,0.94,0.27,19.02,0.14,0.95,23.86,0.59,6.41,7,29.96,10.27,1.42,11.7,133.29,2,1,0.3,0.3,0.43,4,6.3,0.03,5.5,15.3,0.8,0.6,0.3,0.04,3.6,0.14,0.18,0.87,0.7,1.2,0.9,0.2,0.2,0.3,1.5,1.7,40.5,44.5,2.4,0.01,0.03,1.7,0.9,1,1.2,0,7.2,0.05,0.29,0.26,0.67,0.05,1.31,0.15,0.01,0.41,0.17,0.001,0.73,2,0.22,0.25,0.84,0.25,0.13,NA,1,3.6,6.2,11.9,0.48,0.41,0.08,12.8,8.03,1.23,2.07,0.98,0.11,12.4,25.3,44.5,7.2,2,6.2,25.3,85.2,24.4,23,8.9,5.3,61.5,0.9,5.3,6.3,0.6,68.4,7.3,75.6,43,12.5,55.5,26.67,11.98,38.65,2.34,0.03,1.4,0.75,3.69,8.21,102.37,0.6,0.9,1.5,22.1,9.71,4.53,36.4,1.7,1.1,4,6.7,1.2,8.6,0.9,10.8,NA,0.04,0.04,233.4,141.4,0.3,92.3,1.9,235.9,147.8,18.7,166.5,5.5,3,8.5,0.4,0.3,2.5,0.5,0.7,4.3,0.4,13.2,415.6,39.4,46.8,9.7,0.3,3,2.5,0.9,1.3,6.5,24,6.6,77.4,415.6,39.4,77.4,532.4,,,,,,,,,532,233,85,133,521,NA,361,NA
2016,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,7,0.1,14.3,NA,193.7,115.1,34.4,7.6,157.1,2.4,4.5,357.7,393.6,NA,393.6,2.3,NA,63.8,30.8,12.3,106.9,13.1,2.2,518.1,0.2,0.13,1.14,1.45,0.31,0.95,2.09,0.14,0.46,0.08,1.67,0.48,0.11,0,2.09,1.52,0.07,1.26,0,0.48,0.02,0.08,5.1,24.7,0.36,0.04,0.32,0.27,0.49,2.67,3.54,0.01,52.22,0.01,0.38,0.09,0.16,2.67,0.7,0.3,0.18,1.33,0.15,3.34,0.6,9.91,0.01,0.42,0.59,0.3,0.05,1.22,0.64,0.2,18.14,0.13,0.97,22.66,0.66,6.67,7.32,25.39,9.76,4.87,14.63,132.12,2.1,1,0.2,0.4,0.5,4.2,6.9,0.04,5.2,15,0.9,0.7,0.3,0.04,3.7,0.16,0.16,0.99,0.7,1.3,0.9,0.22,0.3,0.3,1.5,1.9,41.2,45.5,2.5,0.02,0.03,1.5,0.8,0.8,1.1,0,6.8,0.04,0.27,0.2,0.62,0.04,1.17,0.1,0.01,0.37,0.17,NA,0.65,1.8,0.38,0.22,0.74,0.2,0.08,NA,1.1,3.5,6.2,11.2,0.41,0.39,0.08,12.1,8.02,1.35,1.96,1.01,0.1,12.4,24.6,45.5,6.8,1.8,6.2,24.6,84.9,25.6,22.5,8.3,4.6,61,1,5.4,6.4,0.6,68,6.9,75,44,12.8,56.8,27.75,13.07,40.82,2.35,0.02,1.45,0.72,3.93,8.47,106.05,0.6,0.9,1.5,22.3,9.56,4.21,36,1.9,0.8,3.9,6.6,1,7.8,0.9,9.7,NA,0.04,0.04,234.9,145.6,0.3,93,2,240.8,149.1,19.5,168.6,5.1,3.2,8.3,0,0.3,2.3,0.5,0.7,3.9,0.4,12.5,421.9,41.9,45.7,11.5,0.3,3.1,3.6,0.6,2.4,6.9,28.4,6.5,80.5,421.9,41.9,80.5,544.3,,,,,,,,,544,235,85,132,518,NA,358,NA
2017,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7.9,0.1,16,NA,192.7,110.7,36.4,8.2,155.4,2.4,5.1,355.6,394,NA,394,2.3,NA,67,30.8,12.3,110.1,13.6,2.3,522.3,0.2,0.14,1.16,1.39,0.31,1,1.96,0.2,0.43,0.08,1.7,0.44,0.11,0.02,2.13,1.38,0.13,1.31,0,0.48,0.05,0.07,5.62,25.25,0.33,0.04,0.29,0.25,0.48,2.96,3.56,0.02,53.52,0.01,0.37,0.11,0.17,2.69,0.86,0.26,0.17,1.31,0.16,3.16,0.58,9.85,0.01,0.4,0.53,0.38,0.06,1.32,0.83,0.18,19.87,0.13,0.86,24.57,0.13,7.13,7.26,27.24,11.29,4.16,15.46,137.88,1.8,1.1,0.2,0.4,0.53,4.1,6.5,0.03,5.7,15.6,0.9,0.6,0.4,0.03,3.8,0.14,0.17,1.08,0.6,1.2,1,0.21,0.3,0.4,1.6,1.8,42.1,46.2,2.5,0.01,0.02,1.7,0.8,0.8,1.1,0,6.9,0.04,0.32,0.18,0.61,0.04,1.19,0.08,0.01,0.35,0.12,NA,0.56,1.8,0.43,0.26,0.58,0.26,0.08,NA,0.8,3.2,5.6,10.2,0.36,0.43,0.08,11.1,7.88,1.16,1.77,0.98,0.09,11.9,23,46.2,6.9,1.8,5.6,23,83.4,26.1,21.7,7.7,4.1,59.6,1,5.5,6.6,0.6,66.7,6.9,73.6,46.8,12.9,59.7,27.38,13.08,40.47,2.33,0.02,1.47,0.71,3.73,8.25,108.45,0.6,0.8,1.4,22,9.97,4.32,36.3,1.6,0.8,3.7,6.1,1.3,7.3,0.9,9.6,NA,0.05,0.05,235.5,149.4,0.3,93.2,2,244.9,151.3,19.3,170.5,5.3,3.5,8.8,0.3,0.4,2.3,0.5,0.7,4.3,0.4,13.4,428.9,42.6,46.5,12.4,0.4,3.1,3.2,0.8,2.3,7.1,29.3,6.2,82,428.9,42.6,82,553.5,,,,,,,,,554,236,83,138,522,NA,356,NA
2018,,,,,,,,,,,,,,,,,,,,,,,,,394.9,NA,394.9,2.1,NA,67,30.8,12.3,110.1,13.6,2.4,523.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
